ID,Lon,Lat,MS_bathy_5m,BO21_tempmean_bdmean,BO21_temprange_bdmean,BO21_tempmean_ss,BO21_temprange_ss,BO21_RCP26_2050_tempmean_bdmean,BO21_RCP45_2050_tempmean_bdmean,BO21_RCP60_2050_tempmean_bdmean,BO21_RCP85_2050_tempmean_bdmean,BO21_RCP26_2100_tempmean_bdmean,BO21_RCP45_2100_tempmean_bdmean,BO21_RCP60_2100_tempmean_bdmean,BO21_RCP85_2100_tempmean_bdmean,BO21_RCP26_2050_temprange_bdmean,BO21_RCP45_2050_temprange_bdmean,BO21_RCP60_2050_temprange_bdmean,BO21_RCP85_2050_temprange_bdmean,BO21_RCP26_2100_temprange_bdmean,BO21_RCP45_2100_temprange_bdmean,BO21_RCP60_2100_temprange_bdmean,BO21_RCP85_2100_temprange_bdmean,BO21_RCP26_2050_tempmean_ss,BO21_RCP45_2050_tempmean_ss,BO21_RCP60_2050_tempmean_ss,BO21_RCP85_2050_tempmean_ss,BO21_RCP26_2100_tempmean_ss,BO21_RCP45_2100_tempmean_ss,BO21_RCP60_2100_tempmean_ss,BO21_RCP85_2100_tempmean_ss,BO21_RCP26_2050_temprange_ss,BO21_RCP45_2050_temprange_ss,BO21_RCP60_2050_temprange_ss,BO21_RCP85_2050_temprange_ss,BO21_RCP26_2100_temprange_ss,BO21_RCP45_2100_temprange_ss,BO21_RCP60_2100_temprange_ss,BO21_RCP85_2100_temprange_ss
58,-10.041666666666666,50.12499999999999,-122,10.618,1.724,13.251,7.898,11.022,11.183,10.924,11.397,10.784,11.483,11.969,13.258,2.214,2.467,2.258,2.621,2.071,2.492,2.457,2.512,13.745,13.924,13.622,13.882,13.66,13.868,14.459,15.48,8.905,9.241,8.991,9.186,8.597,9.14,9.56,9.671
59,0.7916666666666661,53.12499999999999,-7,10.919,13.937,10.942,13.261,11.798,11.81,11.609,12.138,11.651,12.171,12.583,14.014,14.003,14.047,14.239,14.866,14.961,14.471,14.707,14.745,11.902,12.158,11.687,12.264,11.761,12.054,12.758,14.218,13.451,13.647,13.379,14.251,14.446,13.486,13.967,13.873
60,2.208333333333332,53.12499999999999,-21,10.747,13.18,11.202,13.448,11.543,11.527,11.328,11.802,11.307,11.785,12.13,13.281,13.491,13.749,13.589,14.101,13.992,13.526,13.901,13.179,12.12,12.401,11.94,12.49,11.949,12.207,12.895,14.335,13.529,13.849,13.43,14.463,14.717,13.537,14.372,13.726
61,0.45833333333333215,55.87499999999999,-71,8.039,6.035,10.734,11.498,8.428,8.388,8.251,8.606,8.263,8.71,8.925,9.959,6.015,6.213,6.339,6.51,5.975,5.867,6.354,5.485,11.48,11.726,11.272,11.793,11.343,11.564,12.19,13.645,11.625,11.97,12.095,12.245,12.238,11.557,12.348,12.96
62,-9.291666666666668,55.70833333333333,-159,10.405,2.232,11.984,6.332,10.468,10.593,10.602,11.015,10.84,11.376,11.958,13.159,2.734,3.291,3.073,3.303,2.935,3.263,3.336,2.772,12.158,12.331,11.998,12.157,12.059,12.184,12.665,13.616,6.903,6.796,7.102,7.296,6.287,6.678,7.08,7.495
63,-4.958333333333334,49.70833333333333,-81,10.919,3.952,13.183,9.365,11.387,11.277,11.176,11.484,11.155,11.602,11.999,12.789,4.258,4.306,4.315,4.552,4.204,4.195,4.108,4.23,14.017,14.143,13.81,14.179,13.812,14.128,14.815,16.047,10.193,10.766,10.548,11.167,10.287,10.768,10.694,11.465
64,-8.875,56.87499999999999,-110,9.991,2.552,11.61,6.13,9.943,10.059,10.07,10.337,10.088,10.382,11.013,12.21,2.922,3.548,3.43,3.646,3.347,3.483,3.591,3.739,11.744,11.919,11.599,11.731,11.649,11.724,12.249,13.207,6.439,6.249,6.62,6.889,5.781,6.372,6.94,7.009
65,-6.125,55.79166666666666,-2,10.726,8.508,10.674,7.677,11.121,11.034,10.923,11.196,10.98,11.423,11.73,12.731,8.908,8.566,9.086,9.192,8.506,9.197,9.202,9.295,11.137,11.257,10.911,11.201,10.969,11.172,11.73,12.795,8.14,8.198,8.546,8.738,7.758,7.933,8.284,8.709
66,-8.958333333333334,55.20833333333333,-92,10.198,3.875,11.832,7.761,10.037,10.148,10.051,10.131,10.126,10.318,10.561,11.391,4.089,4.608,4.502,4.409,4.36,4.36,4.602,4.005,12.074,12.234,11.885,12.078,11.96,12.1,12.604,13.575,8.352,8.343,8.53,8.777,7.806,8.231,8.526,8.87
67,-9.708333333333334,52.95833333333333,-72,10.391,5.101,12.129,9.466,10.392,10.487,10.356,10.529,10.395,10.702,11.003,11.747,5.336,5.608,5.648,5.583,5.306,5.427,5.487,5.145,12.527,12.711,12.381,12.666,12.417,12.63,13.208,14.149,10.541,10.414,10.668,10.612,9.954,10.149,10.546,10.636
68,-4.875,54.37499999999999,-53,10.012,7.567,11.176,8.38,10.401,10.339,10.197,10.466,10.208,10.606,10.929,11.852,7.935,7.967,8.143,8.17,7.85,7.846,7.882,7.469,11.863,11.972,11.613,11.998,11.628,11.98,12.559,13.725,9.069,9.412,9.501,9.705,8.613,9.038,9.198,9.579
69,-7.958333333333334,56.54166666666666,-111,10.028,2.444,11.288,7.3,10.068,10.179,10.174,10.634,10.312,10.776,11.539,12.797,2.924,3.515,3.395,3.696,3.186,3.496,3.787,3.517,11.545,11.692,11.37,11.544,11.413,11.532,12.07,13.081,7.704,7.551,7.922,8.176,7.251,7.573,8.031,8.257
70,-4.458333333333334,54.54166666666666,-34,10.65,8.454,11.112,10.105,11.111,11.054,10.89,11.192,10.9,11.308,11.626,12.579,8.596,8.864,8.933,9.168,8.741,8.719,8.611,8.216,11.801,11.929,11.566,11.974,11.558,11.911,12.473,13.668,10.672,10.961,11.1,11.255,10.358,10.611,10.89,11.342
71,-9.791666666666666,56.54166666666666,-1635,3.942,0.483,11.873,5.753,4.127,4.124,4.134,4.148,4.223,4.281,4.399,4.269,0.474,0.391,0.418,0.391,0.431,0.377,0.462,0.348,11.952,12.165,11.833,11.965,11.882,11.963,12.455,13.369,6.23,6.172,6.43,6.604,5.602,6.164,6.686,6.965
72,-0.04166666666666785,55.87499999999999,-82,7.901,5.767,10.702,11.392,8.161,8.127,7.982,8.317,8.078,8.493,8.664,9.675,5.691,5.98,5.979,6.112,5.71,5.516,6.206,5.283,11.442,11.68,11.232,11.748,11.276,11.507,12.116,13.572,11.469,11.839,11.928,12.131,12.031,11.459,12.215,12.87
73,-9.541666666666666,54.70833333333333,-98,10.309,3.532,11.901,7.772,10.121,10.252,10.173,10.251,10.2,10.42,10.702,11.579,3.858,4.26,4.209,4.104,4.093,4.058,4.24,3.879,12.073,12.262,11.92,12.114,11.981,12.131,12.625,13.554,8.57,8.507,8.781,8.768,7.924,8.265,8.688,9.041
